cn_name,alias,rating,comment_number,director,year,area,types
触不可及,Intouchables,9.1,412150,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   ,2011, 法国 , 剧情 喜剧
无间道,無間道,9.0,454012,导演: 刘伟强 / 麦兆辉   ,2002, 香港 , 剧情 犯罪 悬疑
当幸福来敲门,The Pursuit of Happyness,8.9,601653,导演: 加布里尔·穆奇诺 Gabriele Muccino   ,2006, 美国 , 剧情 传记 家庭
天堂电影院,Nuovo Cinema Paradiso,9.1,336035,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,1988, 意大利 法国 , 剧情 爱情
怦然心动,Flipped,8.9,627519,导演: 罗伯·莱纳 Rob Reiner   ,2010, 美国 , 剧情 喜剧 爱情
十二怒汉,12 Angry Men,9.4,189456,导演: Sidney Lumet   ,1957, 美国 , 剧情
搏击俱乐部,Fight Club,9.0,432167,导演: 大卫·芬奇 David Fincher   ,1999, 美国 德国 , 剧情 动作 悬疑 惊悚
少年派的奇幻漂流,Life of Pi,9.0,636353,导演: 李安 Ang Lee   ,2012, 美国 台湾 英国 加拿大 , 剧情 奇幻 冒险
鬼子来了,Devils on the Doorstep,9.2,257746,导演: 姜文 Wen Jiang   ,2000, 中国大陆 , 剧情 历史 战争
蝙蝠侠：黑暗骑士,The Dark Knight,9.0,364096,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2008, 美国 英国 , 剧情 动作 科幻 犯罪 惊悚
指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.1,312748,导演: 彼得·杰克逊 Peter Jackson   ,2003, 美国 新西兰 , 剧情 动作 奇幻 冒险
活着,人生  /  Lifetimes,9.1,303479,导演: 张艺谋 Yimou Zhang   ,1994, 中国大陆 香港 , 剧情 历史 家庭
天空之城,天空の城ラピュタ,9.0,367098,导演: 宫崎骏 Hayao Miyazaki   ,1986, 日本 , 动画 奇幻 冒险
疯狂动物城,Zootopia,9.2,578920,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,2016, 美国 , 喜剧 动画 冒险
罗马假日,Roman Holiday,8.9,423228,导演: 威廉·惠勒 William Wyler   ,1953, 美国 , 喜剧 剧情 爱情
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,8.9,447533,导演: 刘镇伟 Jeffrey Lau   ,1995, 香港 中国大陆 , 喜剧 爱情 奇幻 冒险
飞屋环游记,Up,8.9,550663,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   ,2009, 美国 , 剧情 喜剧 动画 冒险
窃听风暴,Das Leben der Anderen,9.1,247511,"导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
   ",2006, 德国 , 剧情 悬疑
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,295010,导演: Guy Ritchie   ,1998, 英国 , 剧情 喜剧 犯罪
飞越疯人院,One Flew Over the Cuckoo's Nest,9.0,299251,导演: 米洛斯·福尔曼 Miloš Forman   ,1975, 美国 , 剧情
控方证人,Witness for the Prosecution,9.6,109470,导演: 比利·怀尔德 Billy Wilder   ,1957, 美国 , 剧情 犯罪 悬疑
闻香识女人,Scent of a Woman,8.9,355710,导演: 马丁·布莱斯 Martin Brest   ,1992, 美国 , 剧情
哈尔的移动城堡,ハウルの動く城,8.9,390002,导演: 宫崎骏 Hayao Miyazaki   ,2004, 日本 , 动画 奇幻 冒险
海豚湾,The Cove,9.3,194941,导演: Louie Psihoyos   ,2009, 美国 , 纪录片
V字仇杀队,V for Vendetta,8.8,460835,导演: 詹姆斯·麦克特格 James McTeigue   ,2005, 美国 英国 德国 , 剧情 动作 科幻 惊悚
辩护人,변호인,9.1,234671,导演: 杨宇硕 Woo-seok Yang   ,2013, 韩国 , 剧情
死亡诗社,Dead Poets Society,9.0,306567,导演: 彼得·威尔 Peter Weir   ,1989, 美国 , 剧情
教父2,The Godfather: Part Ⅱ,9.1,205940,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,1974, 美国 , 剧情 犯罪
美丽心灵,A Beautiful Mind,8.9,331654,导演: 朗·霍华德 Ron Howard   ,2001, 美国 , 传记 剧情
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.0,294208,导演: 彼得·杰克逊 Peter Jackson   ,2002, 美国 新西兰 , 剧情 动作 奇幻 冒险
指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,8.9,329241,导演: 彼得·杰克逊 Peter Jackson   ,2001, 新西兰 美国 , 剧情 动作 奇幻 冒险
情书,Love Letter,8.8,408681,导演: 岩井俊二 Shunji Iwai   ,1995, 日本 , 剧情 爱情
饮食男女,飲食男女,9.1,221239,导演: 李安 Ang Lee   ,1994, 台湾 美国 , 剧情 家庭
摔跤吧！爸爸,Dangal,9.1,510802,导演: 涅提·蒂瓦里 Nitesh Tiwari   ,2016, 印度 , 剧情 传记 运动 家庭
美国往事,Once Upon a Time in America,9.1,190276,导演: 赛尔乔·莱翁内 Sergio Leone   ,1984, 意大利 美国 , 犯罪 剧情
狮子王,The Lion King,8.9,307159,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   ,1994, 美国 , 剧情 动画 冒险 歌舞 家庭
钢琴家,The Pianist,9.0,218952,导演: 罗曼·波兰斯基 Roman Polanski   ,2002, 法国 德国 英国 波兰 , 剧情 传记 历史 战争 音乐
天使爱美丽,Le fabuleux destin d'Amélie Poulain,8.7,517301,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   ,2001, 法国 德国 , 喜剧 爱情
七宗罪,Se7en,8.7,466338,导演: 大卫·芬奇 David Fincher   ,1995, 美国 , 剧情 犯罪 悬疑 惊悚
素媛,소원,9.1,203348,导演: 李濬益 Jun-ik Lee   ,2013, 韩国 , 剧情
被嫌弃的松子的一生,嫌われ松子の一生,8.9,317576,导演: 中岛哲也 Tetsuya Nakashima   ,2006, 日本 , 剧情 歌舞
小鞋子,بچههای آسمان,9.2,152184,导演: 马基德·马基迪 Majid Majidi   ,1997, 伊朗 , 剧情 家庭 儿童
致命魔术,The Prestige,8.8,373377,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2006, 美国 英国 , 剧情 悬疑 惊悚
看不见的客人,Contratiempo,8.8,371777,导演: 奥里奥尔·保罗 Oriol Paulo   ,2016, 西班牙 , 剧情 犯罪 悬疑 惊悚
音乐之声,The Sound of Music,8.9,249807,导演: Robert Wise   ,1965, 美国 , 剧情 传记 爱情 歌舞
勇敢的心,Braveheart,8.8,313640,导演: 梅尔·吉布森 Mel Gibson   ,1995, 美国 , 动作 传记 剧情 历史 战争
剪刀手爱德华,Edward Scissorhands,8.7,520473,导演: Tim Burton   ,1990, 美国 , 剧情 奇幻 爱情
本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.8,423039,导演: 大卫·芬奇 David Fincher   ,2008, 美国 , 剧情 爱情 奇幻
低俗小说,Pulp Fiction,8.8,362222,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   ,1994, 美国 , 剧情 喜剧 犯罪
西西里的美丽传说,Malèna,8.7,382098,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,2000, 意大利 美国 , 剧情 战争 情色
拯救大兵瑞恩,Saving Private Ryan,8.9,260229,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,1998, 美国 , 剧情 历史 战争
黑客帝国,The Matrix,8.8,304729,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   ,1999, 美国 澳大利亚 , 动作 科幻
沉默的羔羊,The Silence of the Lambs,8.7,381071,导演: 乔纳森·戴米 Jonathan Demme   ,1991, 美国 , 剧情 犯罪 惊悚
入殓师,おくりびと,8.8,336757,导演: 泷田洋二郎 Yôjirô Takita   ,2008, 日本 , 剧情
蝴蝶效应,The Butterfly Effect,8.7,411433,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   ,2004, 美国 加拿大 , 剧情 悬疑 科幻 惊悚
让子弹飞,让子弹飞一会儿  /  火烧云,8.7,672323,导演: 姜文 Wen Jiang   ,2010, 中国大陆 香港 , 剧情 喜剧 动作 西部
玛丽和马克思,Mary and Max,8.9,243605,导演: 亚当·艾略特 Adam Elliot   ,2009, 澳大利亚 , 剧情 动画
春光乍泄,春光乍洩,8.8,267823,导演: 王家卫 Kar Wai Wong   ,1997, 香港 日本 韩国 , 剧情 爱情 同性
大闹天宫,大闹天宫 上下集  /  The Monkey King,9.2,110593,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   ,2004(中国大陆), 中国大陆 , 动画 奇幻
心灵捕手,Good Will Hunting,8.8,293249,导演: 格斯·范·桑特 Gus Van Sant   ,1997, 美国 , 剧情
阳光灿烂的日子,In the Heat of the Sun,8.8,290748,导演: 姜文 Wen Jiang   ,1994, 中国大陆 香港 , 剧情
幽灵公主,もののけ姫,8.8,252644,导演: 宫崎骏 Hayao Miyazaki   ,1997, 日本 , 动作 爱情 战争 动画 奇幻 冒险
末代皇帝,The Last Emperor,8.9,186775,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   ,1987, 意大利 中国大陆 英国 法国 , 剧情 传记 历史
第六感,The Sixth Sense,8.8,251056,导演: M·奈特·沙马兰 M. Night Shyamalan   ,1999, 美国 , 剧情 悬疑 惊悚
重庆森林,重慶森林,8.7,356187,导演: 王家卫 Kar Wai Wong   ,1994, 香港 , 剧情 爱情
禁闭岛,Shutter Island,8.7,386850,导演: Martin Scorsese   ,2010, 美国 , 剧情 悬疑 惊悚
大鱼,Big Fish,8.7,269931,导演: 蒂姆·波顿 Tim Burton   ,2003, 美国 , 剧情 家庭 奇幻 冒险
布达佩斯大饭店,The Grand Budapest Hotel,8.8,340885,导演: 韦斯·安德森 Wes Anderson   ,2014, 美国 德国 英国 , 剧情 喜剧
狩猎,Jagten,9.0,141228,导演: 托马斯·温特伯格 Thomas Vinterberg   ,2012, 丹麦 瑞典 , 剧情
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,8.7,281786,导演: Chris Columbus   ,2001, 美国 英国 , 奇幻 冒险
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,294891,导演: 刘镇伟 Jeffrey Lau   ,1993, 香港 , 喜剧 古装
致命ID,Identity,8.6,341865,导演: James Mangold   ,2003, 美国 , 剧情 悬疑 惊悚
甜蜜蜜,Comrades: Almost a Love Story,8.8,246743,导演: 陈可辛 Peter Chan   ,1996, 香港 , 剧情 爱情
断背山,Brokeback Mountain,8.6,342242,导演: 李安 Ang Lee   ,2005, 美国 加拿大 , 剧情 爱情 同性 家庭
一一,Yi yi  /  Yi yi: A One and a Two,8.9,165916,导演: 杨德昌 Edward Yang   ,2000, 台湾 日本 , 剧情 爱情 家庭
告白,自白  /  母亲,8.7,365346,导演: 中岛哲也 Tetsuya Nakashima   ,2010, 日本 , 剧情 惊悚
猫鼠游戏,Catch Me If You Can,8.7,248598,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,2002, 美国 加拿大 , 传记 犯罪 剧情
阳光姐妹淘,써니,8.8,287480,导演: 姜炯哲 Hyeong-Cheol Kang   ,2011, 韩国 , 剧情 喜剧
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.6,370295,导演: 戈尔·维宾斯基 Gore Verbinski   ,2003, 美国 , 动作 冒险 奇幻
上帝之城,Cidade de Deus,8.9,166029,导演: Kátia Lund / Fernando Meirelles   ,2002, 巴西 法国 , 犯罪 剧情
摩登时代,Modern Times,9.2,96793,导演: 查理·卓别林 Charles Chaplin   ,1936, 美国 , 喜剧 剧情 爱情
